,cagr,ann_vol,sharpe,sortino,calmar,max_drawdown,ann_turnover,cost_drag,beta
equal_weight,0.08480102229179676,0.10357546997506749,0.8379610106229135,1.136217053362959,0.4078626769043048,-0.20791562232523986,2.6813307644700606,0.0013406653822350305,0.4933767294736114
erc,0.07934124232978568,0.08059354717333639,0.9878485675794021,1.3770229443404782,0.41756866924363983,-0.19000765185161017,4.984823416722871,0.0024924117083614354,0.3207219850835592
inverse_vol,0.08203822019796037,0.09280713529644063,0.8962599235614613,1.2228242048323708,0.4358806168293282,-0.18821259085737907,3.7279813774208943,0.001863990688710447,0.42516294605571503
mvo,0.04301625677951515,0.11052527899812031,0.43653330338252877,0.58426185935243,0.19131051129380655,-0.22485046163225508,93.40776502688013,0.04670388251344006,0.438701171932911
mvo_ls,-0.03727310885679613,0.11165408807291154,-0.2842650687739513,-0.3816511436054,-0.0990142384357176,-0.37644190821095613,168.72664323531455,0.08436332161765728,0.18135388025248805
